Id,R/O_final,Country,Entry,Artist,Song,Language,Placing,Year,R/O,Event
15,1.0,Belgium,2,Bobbejaan Schoepen,Straatdeuntje,Dutch,8,1957,,
16,2.0,Luxembourg,2,Danièle Dupré,Amours mortes (tant de peine),French,4,1957,,
17,3.0,United Kingdom,1,Patricia Bredin,All,English,7,1957,,
18,4.0,Italy,2,Nunzio Gallo,Corde della mia chitarra,Italian,6,1957,,
19,5.0,Austria,1,Bob Martin,"Wohin, kleines Pony?",German,10,1957,,
20,6.0,Netherlands,2,Corry Brokken,Net als toen,Dutch,1,1957,,
21,7.0,Germany,2,Margot Hielscher,"Telefon, Telefon",German,4,1957,,
22,8.0,France,2,Paule Desjardins,La belle amour,French,2,1957,,
23,9.0,Denmark,1,Birthe Wilke & Gustav Winckler,Skibet skal sejle i nat,Danish,3,1957,,
24,10.0,Switzerland,2,Lys Assia,L'enfant que j'étais,French,8,1957,,
25,1.0,Italy,3,Domenico Modugno,"Nel blu, dipinto di blu",Italian,3,1958,,
26,2.0,Netherlands,3,Corry Brokken,Heel de wereld,Dutch,9,1958,,
27,3.0,France,3,André Claveau,"Dors, mon amour",French,1,1958,,
28,4.0,Luxembourg,3,Solange Berry,Un grand amour,French,9,1958,,
29,5.0,Sweden,1,Alice Babs,Lilla stjärna,Swedish,4,1958,,
30,6.0,Denmark,2,Raquel Rastenni,Jeg rev et blad ud af min dagbog,Danish,8,1958,,
31,7.0,Belgium,3,Fud Leclerc,Ma petite chatte,French,5,1958,,
32,8.0,Germany,3,Margot Hielscher,Für zwei Groschen Musik,German,7,1958,,
33,9.0,Austria,2,Liane Augustin,Die ganze Welt braucht Liebe,German,5,1958,,
34,10.0,Switzerland,3,Lys Assia,Giorgio,"German, Italian",2,1958,,
35,1.0,France,4,Jean Philippe,"Oui, oui, oui, oui",French,3,1959,,
36,2.0,Denmark,3,Birthe Wilke,"Uh, jeg ville ønske jeg var dig",Danish,5,1959,,
37,3.0,Italy,4,Domenico Modugno,"Piove (Ciao, ciao bambina)",Italian,6,1959,,
38,4.0,Monaco,1,Jacques Pills,Mon ami Pierrot,French,11,1959,,
39,5.0,Netherlands,4,Teddy Scholten,Een beetje,Dutch,1,1959,,
40,6.0,Germany,4,Alice & Ellen Kessler,Heute Abend wollen wir tanzen geh'n,German,8,1959,,
41,7.0,Sweden,2,Brita Borg,Augustin,Swedish,9,1959,,
42,8.0,Switzerland,4,Christa Williams,Irgendwoher,German,4,1959,,
43,9.0,Austria,3,Ferry Graf,Der K und K Kalypso aus Wien,German,9,1959,,
44,10.0,United Kingdom,2,Pearl Carr & Teddy Johnson,"Sing, Little Birdie",English,2,1959,,
45,11.0,Belgium,4,Bob Benny,Hou toch van mij,Dutch,6,1959,,
46,1.0,United Kingdom,3,Bryan Johnson,"Looking High, High, High",English,2,1960,,
47,2.0,Sweden,3,Siw Malmkvist,Alla andra får varann,Swedish,10,1960,,
48,3.0,Luxembourg,4,Camillo Felgen,So laang we's du do bast,Luxembourgish,13,1960,,
49,4.0,Denmark,4,Katy Bødtger,Det var en yndig tid,Danish,10,1960,,
50,5.0,Belgium,5,Fud Leclerc,Mon amour pour toi,French,6,1960,,
51,6.0,Norway,1,Nora Brockstedt,Voi voi,Norwegian,4,1960,,
52,7.0,Austria,4,Harry Winter,Du hast mich so fasziniert,German,7,1960,,
53,8.0,Monaco,2,François Deguelt,Ce soir-là,French,3,1960,,
54,9.0,Switzerland,5,Anita Traversi,Cielo e terra,Italian,8,1960,,
55,10.0,Netherlands,5,Rudi Carrell,Wat een geluk,Dutch,12,1960,,
56,11.0,Germany,5,Wyn Hoop,Bonne nuit ma chérie,German,4,1960,,
57,12.0,Italy,5,Renato Rascel,Romantica,Italian,8,1960,,
58,13.0,France,5,Jacqueline Boyer,Tom Pillibi,French,1,1960,,
59,1.0,Spain,1,Conchita Bautista,Estando contigo,Spanish,9,1961,,
60,2.0,Monaco,3,Colette Deréal,"Allons, allons les enfants",French,10,1961,,
61,3.0,Austria,5,Jimmy Makulis,Sehnsucht,German,15,1961,,
62,4.0,Finland,1,Laila Kinnunen,Valoa ikkunassa,Finnish,10,1961,,
63,5.0,Yugoslavia,1,Ljiljana Petrović,Neke davne zvezde (Неке давне звезде),Serbo-Croatian,8,1961,,
64,6.0,Netherlands,6,Greetje Kauffeld,Wat een dag,Dutch,10,1961,,
65,7.0,Sweden,4,Lill-Babs,"April, april",Swedish,14,1961,,
66,8.0,Germany,6,Lale Andersen,Einmal sehen wir uns wieder,"German, French",13,1961,,
67,9.0,France,6,Jean-Paul Mauric,"Printemps, avril carillonne",French,4,1961,,
68,10.0,Switzerland,6,Franca di Rienzo,Nous aurons demain,French,3,1961,,
69,11.0,Belgium,6,Bob Benny,"September, gouden roos",Dutch,15,1961,,
70,12.0,Norway,2,Nora Brockstedt,Sommer i Palma,Norwegian,7,1961,,
71,13.0,Denmark,5,Dario Campeotto,Angelique,Danish,5,1961,,
72,14.0,Luxembourg,5,Jean-Claude Pascal,Nous les amoureux,French,1,1961,,
73,15.0,United Kingdom,4,The Allisons,Are You Sure?,English,2,1961,,
74,16.0,Italy,6,Betty Curtis,Al di là,Italian,5,1961,,
75,1.0,Finland,2,Marion Rung,Tipi-tii,Finnish,7,1962,,
76,2.0,Belgium,7,Fud Leclerc,Ton nom,French,13,1962,,
77,3.0,Spain,2,Víctor Balaguer,Llámame,Spanish,13,1962,,
78,4.0,Austria,6,Eleonore Schwarz,Nur in der Wiener Luft,German,13,1962,,
79,5.0,Denmark,6,Ellen Winther,Vuggevise,Danish,10,1962,,
80,6.0,Sweden,5,Inger Berggren,Sol och vår,Swedish,7,1962,,
81,7.0,Germany,7,Conny Froboess,Zwei kleine Italiener,German,6,1962,,
82,8.0,Netherlands,7,De Spelbrekers,Katinka,Dutch,13,1962,,
83,9.0,France,7,Isabelle Aubret,Un premier amour,French,1,1962,,
84,10.0,Norway,3,Inger Jacobsen,"Kom sol, kom regn",Norwegian,10,1962,,
85,11.0,Switzerland,7,Jean Philippe,Le retour,French,10,1962,,
86,12.0,Yugoslavia,2,Lola Novaković,Ne pali svetla u sumrak (Не пали светла у сумрак),Serbo-Croatian,4,1962,,
87,13.0,United Kingdom,5,Ronnie Carroll,Ring-a-Ding Girl,English,4,1962,,
88,14.0,Luxembourg,6,Camillo Felgen,Petit bonhomme,French,3,1962,,
89,15.0,Italy,7,Claudio Villa,"Addio, addio",Italian,9,1962,,
90,16.0,Monaco,4,François Deguelt,Dis rien,French,2,1962,,
91,1.0,United Kingdom,6,Ronnie Carroll,Say Wonderful Things,English,4,1963,,
92,2.0,Netherlands,8,Annie Palmen,Een speeldoos,Dutch,13,1963,,
93,3.0,Germany,8,Heidi Brühl,Marcel,German,9,1963,,
94,4.0,Austria,7,Carmela Corren,Vielleicht geschieht ein Wunder,"German, English",7,1963,,
95,5.0,Norway,4,Anita Thallaug,Solhverv,Norwegian,13,1963,,
96,6.0,Italy,8,Emilio Pericoli,Uno per tutte,Italian,3,1963,,
97,7.0,Finland,3,Laila Halme,Muistojeni laulu,Finnish,13,1963,,
98,8.0,Denmark,7,Grethe & Jørgen Ingmann,Dansevise,Danish,1,1963,,
99,9.0,Yugoslavia,3,Vice Vukov,Brodovi (Бродови),Serbo-Croatian,11,1963,,
100,10.0,Switzerland,8,Esther Ofarim,T'en va pas,French,2,1963,,
101,11.0,France,8,Alain Barrière,Elle était si jolie,French,5,1963,,
102,12.0,Spain,3,José Guardiola,Algo prodigioso,Spanish,12,1963,,
103,13.0,Sweden,6,Monica Zetterlund,En gång i Stockholm,Swedish,13,1963,,
104,14.0,Belgium,8,Jacques Raymond,Waarom?,Dutch,10,1963,,
105,15.0,Monaco,5,Françoise Hardy,L'amour s'en va,French,5,1963,,
106,16.0,Luxembourg,7,Nana Mouskouri,À force de prier,French,8,1963,,
107,1.0,Luxembourg,8,Hugues Aufray,Dès que le printemps revient,French,4,1964,,
108,2.0,Netherlands,9,Anneke Grönloh,Jij bent mijn leven,Dutch,10,1964,,
109,3.0,Norway,5,Arne Bendiksen,Spiral,Norwegian,8,1964,,
110,4.0,Denmark,8,Bjørn Tidmand,Sangen om dig,Danish,9,1964,,
111,5.0,Finland,4,Lasse Mårtenson,Laiskotellen,Finnish,7,1964,,
112,6.0,Austria,8,Udo Jürgens,"Warum nur, warum?",German,6,1964,,
113,7.0,France,9,Rachel,Le chant de Mallory,French,4,1964,,
114,8.0,United Kingdom,7,Matt Monro,I Love the Little Things,English,2,1964,,
115,9.0,Germany,9,Nora Nova,Man gewöhnt sich so schnell an das Schöne,German,13,1964,,
116,10.0,Monaco,6,Romuald,Où sont-elles passées,French,3,1964,,
117,11.0,Portugal,1,António Calvário,Oração,Portuguese,13,1964,,
118,12.0,Italy,9,Gigliola Cinquetti,Non ho l'età,Italian,1,1964,,
119,13.0,Yugoslavia,4,Sabahudin Kurt,Život je sklopio krug (Живот је склопио круг),Serbo-Croatian,13,1964,,
120,14.0,Switzerland,9,Anita Traversi,I miei pensieri,Italian,13,1964,,
121,15.0,Belgium,9,Robert Cogoi,Près de ma rivière,French,10,1964,,
122,16.0,Spain,4,"Tim, Nelly & Tony",Caracola,Spanish,12,1964,,
123,1.0,Netherlands,10,Conny Vandenbos,'t Is genoeg,Dutch,11,1965,,
124,2.0,United Kingdom,8,Kathy Kirby,I Belong,English,2,1965,,
125,3.0,Spain,5,Conchita Bautista,"¡Qué bueno, qué bueno!",Spanish,15,1965,,
126,4.0,Ireland,1,Butch Moore,Walking the Streets in the Rain,English,6,1965,,
127,5.0,Germany,10,Ulla Wiesner,"Paradies, wo bist du?",German,15,1965,,
128,6.0,Austria,9,Udo Jürgens,"Sag ihr, ich lass sie grüßen",German,4,1965,,
129,7.0,Norway,6,Kirsti Sparboe,Karusell,Norwegian,13,1965,,
130,8.0,Belgium,10,Lize Marke,Als het weer lente is,Dutch,15,1965,,
131,9.0,Monaco,7,Marjorie Noël,Va dire à l'amour,French,9,1965,,
132,10.0,Sweden,7,Ingvar Wixell,Absent Friend,English,10,1965,,
133,11.0,France,10,Guy Mardel,N'avoue jamais,French,3,1965,,
134,12.0,Portugal,2,Simone de Oliveira,Sol de inverno,Portuguese,13,1965,,
135,13.0,Italy,10,Bobby Solo,"Se piangi, se ridi",Italian,5,1965,,
136,14.0,Denmark,9,Birgit Brüel,For din skyld,Danish,7,1965,,
137,15.0,Luxembourg,9,France Gall,"Poupée de cire, poupée de son",French,1,1965,,
138,16.0,Finland,5,Viktor Klimenko,Aurinko laskee länteen,Finnish,15,1965,,
139,17.0,Yugoslavia,5,Vice Vukov,Čežnja (Чежња),Serbo-Croatian,12,1965,,
140,18.0,Switzerland,10,Yovanna,Non – à jamais sans toi,French,8,1965,,
141,1.0,Germany,11,Margot Eskens,Die Zeiger der Uhr,German,10,1966,,
142,2.0,Denmark,10,Ulla Pia,Stop – mens legen er go',Danish,14,1966,,
143,3.0,Belgium,11,Tonia,"Un peu de poivre, un peu de sel",French,4,1966,,
144,4.0,Luxembourg,10,Michèle Torr,Ce soir je t'attendais,French,10,1966,,
145,5.0,Yugoslavia,6,Berta Ambrož,Brez besed,Slovene,7,1966,,
146,6.0,Norway,7,Åse Kleveland,Intet er nytt under solen,Norwegian,3,1966,,
147,7.0,Finland,6,Ann Christine,Playboy,Finnish,10,1966,,
148,8.0,Portugal,3,Madalena Iglésias,Ele e ela,Portuguese,13,1966,,
149,9.0,Austria,10,Udo Jürgens,"Merci, Chérie",German[b],1,1966,,
150,10.0,Sweden,8,Lill Lindfors & Svante Thuresson,Nygammal vals,Swedish,2,1966,,
151,11.0,Spain,6,Raphael,Yo soy aquél,Spanish,7,1966,,
152,12.0,Switzerland,11,Madeleine Pascal,Ne vois-tu pas ?,French,6,1966,,
153,13.0,Monaco,8,Téréza,Bien plus fort,French,17,1966,,
154,14.0,Italy,11,Domenico Modugno,"Dio, come ti amo",Italian,17,1966,,
155,15.0,France,11,Dominique Walter,Chez nous,French,16,1966,,
156,16.0,Netherlands,11,Milly Scott,Fernando en Filippo,Dutch,15,1966,,
157,17.0,Ireland,2,Dickie Rock,Come Back to Stay,English,4,1966,,
158,18.0,United Kingdom,9,Kenneth McKellar,A Man Without Love,English,9,1966,,
159,1.0,Netherlands,12,Thérèse Steinmetz,Ring-dinge-ding,Dutch,14,1967,,
160,2.0,Luxembourg,11,Vicky Leandros,L'amour est bleu,French,4,1967,,
161,3.0,Austria,11,Peter Horton [de],Warum es hunderttausend Sterne gibt,German,14,1967,,
162,4.0,France,12,Noëlle Cordier,Il doit faire beau là-bas,French,3,1967,,
163,5.0,Portugal,4,Eduardo Nascimento,O vento mudou,Portuguese,12,1967,,
164,6.0,Switzerland,12,Géraldine,Quel cœur vas-tu briser ?,French,17,1967,,
165,7.0,Sweden,9,Östen Warnerbring,Som en dröm,Swedish,8,1967,,
166,8.0,Finland,7,Fredi,Varjoon – suojaan,Finnish,12,1967,,
167,9.0,Germany,12,Inge Brück,Anouschka,German,8,1967,,
168,10.0,Belgium,12,Louis Neefs,Ik heb zorgen,Dutch,7,1967,,
169,11.0,United Kingdom,10,Sandie Shaw,Puppet on a String,English,1,1967,,
170,12.0,Spain,7,Raphael,Hablemos del amor,Spanish,6,1967,,
171,13.0,Norway,8,Kirsti Sparboe,Dukkemann,Norwegian,14,1967,,
172,14.0,Monaco,9,Minouche Barelli,Boum-badaboum,French,5,1967,,
173,15.0,Yugoslavia,7,Lado Leskovar [sl],Vse rože sveta,Slovene,8,1967,,
174,16.0,Italy,12,Claudio Villa,Non andare più lontano,Italian,11,1967,,
175,17.0,Ireland,3,Sean Dunphy,If I Could Choose,English,2,1967,,
176,1.0,Portugal,5,Carlos Mendes,Verão,Portuguese,11,1968,,
177,2.0,Netherlands,13,Ronnie Tober,Morgen,Dutch,16,1968,,
178,3.0,Belgium,13,Claude Lombard,Quand tu reviendras,French,7,1968,,
179,4.0,Austria,12,Karel Gott,Tausend Fenster,German,13,1968,,
180,5.0,Luxembourg,12,Chris Baldo & Sophie Garel [fr],Nous vivrons d'amour,French,11,1968,,
181,6.0,Switzerland,13,Gianni Mascolo,Guardando il sole,Italian,13,1968,,
182,7.0,Monaco,10,Line & Willy,À chacun sa chanson,French,7,1968,,
183,8.0,Sweden,10,Claes-Göran Hederström,"Det börjar verka kärlek, banne mig",Swedish,5,1968,,
184,9.0,Finland,8,Kristina Hautala,Kun kello käy,Finnish,16,1968,,
185,10.0,France,13,Isabelle Aubret,La source,French,3,1968,,
186,11.0,Italy,13,Sergio Endrigo,Marianne,Italian,10,1968,,
187,12.0,United Kingdom,11,Cliff Richard,Congratulations,English,2,1968,,
188,13.0,Norway,9,Odd Børre,Stress,Norwegian,13,1968,,
189,14.0,Ireland,4,Pat McGuigan,Chance of a Lifetime,English,4,1968,,
190,15.0,Spain,8,Massiel,"La, la, la",Spanish,1,1968,,
191,16.0,Germany,13,Wenche Myhre,Ein Hoch der Liebe,German,6,1968,,
192,17.0,Yugoslavia,8,Luci Capurso & Hamo Hajdarhodžić,Jedan dan (Један дан),Serbo-Croatian,7,1968,,
193,1.0,Yugoslavia,9,Ivan [hr] & 4M [hr],Pozdrav svijetu (Поздрав свијету),Serbo-Croatian,13,1969,,
194,2.0,Luxembourg,13,Romuald,Catherine,French,11,1969,,
195,3.0,Spain,9,Salomé,Vivo cantando,Spanish,1,1969,,
196,4.0,Monaco,11,Jean Jacques,"Maman, Maman",French,6,1969,,
197,5.0,Ireland,5,Muriel Day and The Lindsays,The Wages of Love,English,7,1969,,
