artists,id,name,popularity,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,analysis_url,duration_ms,time_signature
Anxhela Peristeri,7Ca1YA47yXQByUTX2jHMlN,Karma,65,spotify:track:7Ca1YA47yXQByUTX2jHMlN,0.515,0.627,7,-10.083,0,0.0448,0.00371,0.0,0.127,0.192,149.987,audio_features,https://api.spotify.com/v1/audio-analysis/7Ca1YA47yXQByUTX2jHMlN,179200,4
Arilena Ara,0Y6JVcxzdXaNwHROjoyuww,Fall from the Sky,39,spotify:track:0Y6JVcxzdXaNwHROjoyuww,0.369,0.677,7,-3.382,0,0.0365,0.0187,0.0,0.312,0.243,144.755,audio_features,https://api.spotify.com/v1/audio-analysis/0Y6JVcxzdXaNwHROjoyuww,188890,4
Jonida Maliqi,7p83db7oriaCul8WzoLr6f,Ktheju Tokës,32,spotify:track:7p83db7oriaCul8WzoLr6f,0.531,0.611,1,-5.119,1,0.0387,0.0162,0.0,0.11,0.597,115.058,audio_features,https://api.spotify.com/v1/audio-analysis/7p83db7oriaCul8WzoLr6f,194452,4
Eugent Bushpepa,6vGLWavGUuAs9vpZyprUl0,Mall,36,spotify:track:6vGLWavGUuAs9vpZyprUl0,0.322,0.807,4,-4.468,1,0.0368,0.0106,0.0,0.168,0.493,189.743,audio_features,https://api.spotify.com/v1/audio-analysis/6vGLWavGUuAs9vpZyprUl0,190491,3
Lindita,4cxdvy2QfC7Yzh5m8zwX3i,World,0,spotify:track:4cxdvy2QfC7Yzh5m8zwX3i,0.426,0.788,0,-4.566,1,0.0404,0.11,0.0,0.289,0.294,84.965,audio_features,https://api.spotify.com/v1/audio-analysis/4cxdvy2QfC7Yzh5m8zwX3i,176223,4
Elhaida Dani,37Iemq844Q9wKENnwbFtWe,I'm Alive - Eurovision 2015 - Albania,0,spotify:track:37Iemq844Q9wKENnwbFtWe,0.302,0.731,9,-8.544,0,0.186,0.0187,0.0,0.243,0.377,150.018,audio_features,https://api.spotify.com/v1/audio-analysis/37Iemq844Q9wKENnwbFtWe,186306,4
Hersi,1e7hVISj3bDzGrknIRJCA0,One Night's Anger - Eurovision 2014 - Albania,0,spotify:track:1e7hVISj3bDzGrknIRJCA0,0.537,0.583,8,-5.599,1,0.0331,0.265,0.0,0.0706,0.557,151.952,audio_features,https://api.spotify.com/v1/audio-analysis/1e7hVISj3bDzGrknIRJCA0,184613,3
Adrian Lulgjuraj,6iTD7ux4v0qVd1I11LbiUe,Identitet,0,spotify:track:6iTD7ux4v0qVd1I11LbiUe,0.642,0.849,4,-8.803,1,0.0323,0.0012,9.61e-06,0.096,0.775,105.017,audio_features,https://api.spotify.com/v1/audio-analysis/6iTD7ux4v0qVd1I11LbiUe,242000,4
Rona Nishliu,1ulbWiFaKvwdLzYOGOS7FC,Suus,28,spotify:track:1ulbWiFaKvwdLzYOGOS7FC,0.285,0.33,10,-5.148,0,0.0343,0.798,2.42e-05,0.109,0.0933,73.897,audio_features,https://api.spotify.com/v1/audio-analysis/1ulbWiFaKvwdLzYOGOS7FC,254272,3
Aurela Gace,0kDPa3jNIb7Bv5js0skSNY,Feel the Passion,14,spotify:track:0kDPa3jNIb7Bv5js0skSNY,0.439,0.257,8,-9.631,0,0.0425,0.841,1.57e-05,0.109,0.116,74.534,audio_features,https://api.spotify.com/v1/audio-analysis/0kDPa3jNIb7Bv5js0skSNY,235585,3
