Id,R/O_final,Country,Entry,Artist,Song,Language,Placing,Year,R/O,Event,name,artists,id,popularity,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,analysis_url,duration_ms,time_signature
17,3.0,United Kingdom,1,Patricia Bredin,All,English,7,1957,0.0,0,All,Patricia Bredin,4Sqs1vBhEoo3dfqMvUPhgh,8,spotify:track:4Sqs1vBhEoo3dfqMvUPhgh,0.0,0.139,5,-28.433,1,0.0,0.974,0.00267,0.846,0.0,0.0,audio_features,https://api.spotify.com/v1/audio-analysis/4Sqs1vBhEoo3dfqMvUPhgh,162326,0
18,4.0,Italy,2,Nunzio Gallo,Corde della mia chitarra,Italian,6,1957,0.0,0,Corde della mia guitarra (remastered),Nunzio Gallo,549gEWRo8uTUsNJFxHcKjv,4,spotify:track:549gEWRo8uTUsNJFxHcKjv,0.364,0.278,7,-9.579,1,0.0354,0.966,2.72e-05,0.108,0.224,95.548,audio_features,https://api.spotify.com/v1/audio-analysis/549gEWRo8uTUsNJFxHcKjv,202600,1
19,5.0,Austria,1,Bob Martin,"Wohin, kleines Pony?",German,10,1957,0.0,0,Wohin kleines pony,Bob Martin,0mLmt6DBB2QITlKPXLwSxn,5,spotify:track:0mLmt6DBB2QITlKPXLwSxn,0.422,0.176,1,-29.19,1,0.169,0.977,1.36e-05,0.39,0.75,102.56,audio_features,https://api.spotify.com/v1/audio-analysis/0mLmt6DBB2QITlKPXLwSxn,208641,4
20,6.0,Netherlands,2,Corry Brokken,Net als toen,Dutch,1,1957,0.0,0,Net als toen,Corry Brokken,7qCuUwzqvgZ1Qqa7XVOgg4,0,spotify:track:7qCuUwzqvgZ1Qqa7XVOgg4,0.39,0.193,8,-14.725,1,0.0437,0.728,0.0,0.117,0.504,115.563,audio_features,https://api.spotify.com/v1/audio-analysis/7qCuUwzqvgZ1Qqa7XVOgg4,203907,4
21,7.0,Germany,2,Margot Hielscher,"Telefon, Telefon",German,4,1957,0.0,0,Telefon telefon,Margot Hielscher,21Rc1BtK7weDmW2caDLWus,9,spotify:track:21Rc1BtK7weDmW2caDLWus,0.275,0.065,7,-32.622,1,0.0521,0.991,0.141,0.826,0.299,107.632,audio_features,https://api.spotify.com/v1/audio-analysis/21Rc1BtK7weDmW2caDLWus,292337,1
22,8.0,France,2,Paule Desjardins,La belle amour,French,2,1957,0.0,0,La belle amour,Paule Desjardins,1pMDLjdoyAOfucSkDWSVJQ,5,spotify:track:1pMDLjdoyAOfucSkDWSVJQ,0.242,0.142,10,-18.362,1,0.0433,0.953,0.0,0.347,0.396,68.434,audio_features,https://api.spotify.com/v1/audio-analysis/1pMDLjdoyAOfucSkDWSVJQ,188459,4
24,10.0,Switzerland,2,Lys Assia,L'enfant que j'étais,French,8,1957,0.0,0,L'enfant que j'étais,Lys Assia,01sQcEG7fSc0gj2pDuQjki,7,spotify:track:01sQcEG7fSc0gj2pDuQjki,0.35,0.117,10,-18.011,1,0.0469,0.975,0.00175,0.142,0.425,121.324,audio_features,https://api.spotify.com/v1/audio-analysis/01sQcEG7fSc0gj2pDuQjki,191940,4
25,1.0,Italy,3,Domenico Modugno,"Nel blu, dipinto di blu",Italian,3,1958,0.0,0,Nel blu dipinto di blu,Domenico Modugno,32nzukCBsShcUG3nQcPAFz,13,spotify:track:32nzukCBsShcUG3nQcPAFz,0.552,0.0851,10,-16.537,1,0.0441,0.956,1.09e-06,0.379,0.512,130.618,audio_features,https://api.spotify.com/v1/audio-analysis/32nzukCBsShcUG3nQcPAFz,213232,4
26,2.0,Netherlands,3,Corry Brokken,Heel de wereld,Dutch,9,1958,0.0,0,Heel de wereld,Corry Brokken,2O71HdaGDHw0pvjBOTpAT6,2,spotify:track:2O71HdaGDHw0pvjBOTpAT6,0.226,0.313,8,-9.587,1,0.0338,0.7,0.000395,0.106,0.294,171.396,audio_features,https://api.spotify.com/v1/audio-analysis/2O71HdaGDHw0pvjBOTpAT6,170753,1
27,3.0,France,3,André Claveau,"Dors, mon amour",French,1,1958,0.0,0,"Dors, mon amour",André Claveau,3XO7wOCVLOqvL7GaI37TE4,1,spotify:track:3XO7wOCVLOqvL7GaI37TE4,0.223,0.286,8,-14.046,1,0.0398,0.852,5.65e-06,0.167,0.19,169.999,audio_features,https://api.spotify.com/v1/audio-analysis/3XO7wOCVLOqvL7GaI37TE4,192238,3
